Visitor,TS_Design_Selected,TS_Design_Name,TS_Reward,TS_Regret,TS_Cumul_Reward,Random_Design_Selected,Random_Reward,Random_Regret,Random_Cumul_Reward
229,4,Free shipping + money-back,1,0.0,105,2,0,0.25000000000000006,77
230,1,Urgency — 'Only 12 left!',0,0.20000000000000007,105,4,1,0.0,78
231,4,Free shipping + money-back,0,0.0,105,4,0,0.0,78
232,4,Free shipping + money-back,0,0.0,105,4,0,0.0,78
233,4,Free shipping + money-back,1,0.0,106,3,0,0.10000000000000003,78
234,4,Free shipping + money-back,0,0.0,106,4,0,0.0,78
235,4,Free shipping + money-back,1,0.0,107,0,0,0.35000000000000003,78
236,4,Free shipping + money-back,1,0.0,108,1,0,0.20000000000000007,78
237,4,Free shipping + money-back,1,0.0,109,2,1,0.25000000000000006,79
238,4,Free shipping + money-back,0,0.0,109,0,0,0.35000000000000003,79
239,4,Free shipping + money-back,0,0.0,109,3,1,0.10000000000000003,80
240,4,Free shipping + money-back,1,0.0,110,2,0,0.25000000000000006,80
241,4,Free shipping + money-back,0,0.0,110,2,1,0.25000000000000006,81
242,4,Free shipping + money-back,1,0.0,111,4,1,0.0,82
243,4,Free shipping + money-back,0,0.0,111,2,0,0.25000000000000006,82
244,4,Free shipping + money-back,1,0.0,112,2,1,0.25000000000000006,83
245,4,Free shipping + money-back,1,0.0,113,1,1,0.20000000000000007,84
246,4,Free shipping + money-back,0,0.0,113,3,0,0.10000000000000003,84
247,4,Free shipping + money-back,1,0.0,114,0,0,0.35000000000000003,84
248,4,Free shipping + money-back,1,0.0,115,4,1,0.0,85
249,4,Free shipping + money-back,0,0.0,115,1,1,0.20000000000000007,86
250,4,Free shipping + money-back,0,0.0,115,0,1,0.35000000000000003,87
251,4,Free shipping + money-back,1,0.0,116,0,0,0.35000000000000003,87
252,4,Free shipping + money-back,1,0.0,117,1,0,0.20000000000000007,87
253,4,Free shipping + money-back,1,0.0,118,4,1,0.0,88
254,4,Free shipping + money-back,1,0.0,119,3,0,0.10000000000000003,88
255,4,Free shipping + money-back,1,0.0,120,1,1,0.20000000000000007,89
256,4,Free shipping + money-back,0,0.0,120,1,0,0.20000000000000007,89
257,4,Free shipping + money-back,0,0.0,120,1,0,0.20000000000000007,89
258,2,"Social proof — 4,200 reviews",0,0.25000000000000006,120,4,1,0.0,90
259,4,Free shipping + money-back,1,0.0,121,1,0,0.20000000000000007,90
260,4,Free shipping + money-back,1,0.0,122,1,0,0.20000000000000007,90
261,4,Free shipping + money-back,1,0.0,123,2,1,0.25000000000000006,91
262,4,Free shipping + money-back,0,0.0,123,2,0,0.25000000000000006,91
263,4,Free shipping + money-back,1,0.0,124,2,1,0.25000000000000006,92
264,4,Free shipping + money-back,1,0.0,125,2,0,0.25000000000000006,92
265,4,Free shipping + money-back,0,0.0,125,1,0,0.20000000000000007,92
266,4,Free shipping + money-back,1,0.0,126,2,0,0.25000000000000006,92
267,4,Free shipping + money-back,0,0.0,126,0,0,0.35000000000000003,92
268,4,Free shipping + money-back,1,0.0,127,3,1,0.10000000000000003,93
269,4,Free shipping + money-back,0,0.0,127,2,0,0.25000000000000006,93
270,4,Free shipping + money-back,0,0.0,127,4,0,0.0,93
271,4,Free shipping + money-back,0,0.0,127,3,0,0.10000000000000003,93
272,4,Free shipping + money-back,0,0.0,127,0,1,0.35000000000000003,94
273,4,Free shipping + money-back,1,0.0,128,3,1,0.10000000000000003,95
274,4,Free shipping + money-back,1,0.0,129,3,0,0.10000000000000003,95
275,4,Free shipping + money-back,0,0.0,129,0,0,0.35000000000000003,95
276,4,Free shipping + money-back,0,0.0,129,2,0,0.25000000000000006,95
277,4,Free shipping + money-back,1,0.0,130,0,0,0.35000000000000003,95
278,4,Free shipping + money-back,1,0.0,131,4,1,0.0,96
279,2,"Social proof — 4,200 reviews",0,0.25000000000000006,131,0,0,0.35000000000000003,96
280,4,Free shipping + money-back,1,0.0,132,1,0,0.20000000000000007,96
281,4,Free shipping + money-back,1,0.0,133,1,0,0.20000000000000007,96
282,4,Free shipping + money-back,0,0.0,133,3,0,0.10000000000000003,96
283,4,Free shipping + money-back,1,0.0,134,2,0,0.25000000000000006,96
284,4,Free shipping + money-back,1,0.0,135,2,0,0.25000000000000006,96
285,4,Free shipping + money-back,0,0.0,135,1,0,0.20000000000000007,96
286,1,Urgency — 'Only 12 left!',0,0.20000000000000007,135,4,0,0.0,96
287,4,Free shipping + money-back,0,0.0,135,0,0,0.35000000000000003,96
288,4,Free shipping + money-back,0,0.0,135,0,0,0.35000000000000003,96
289,4,Free shipping + money-back,1,0.0,136,0,0,0.35000000000000003,96
290,4,Free shipping + money-back,0,0.0,136,4,0,0.0,96
291,4,Free shipping + money-back,1,0.0,137,4,1,0.0,97
292,4,Free shipping + money-back,1,0.0,138,0,0,0.35000000000000003,97
293,3,Doctor endorsement + quote,0,0.10000000000000003,138,0,1,0.35000000000000003,98
294,4,Free shipping + money-back,0,0.0,138,4,0,0.0,98
295,4,Free shipping + money-back,1,0.0,139,0,0,0.35000000000000003,98
296,4,Free shipping + money-back,1,0.0,140,4,1,0.0,99
297,4,Free shipping + money-back,1,0.0,141,3,1,0.10000000000000003,100
298,4,Free shipping + money-back,1,0.0,142,1,0,0.20000000000000007,100
299,4,Free shipping + money-back,1,0.0,143,1,0,0.20000000000000007,100
300,4,Free shipping + money-back,0,0.0,143,4,0,0.0,100
301,4,Free shipping + money-back,1,0.0,144,0,0,0.35000000000000003,100
302,4,Free shipping + money-back,0,0.0,144,1,1,0.20000000000000007,101
303,4,Free shipping + money-back,0,0.0,144,2,0,0.25000000000000006,101
304,4,Free shipping + money-back,0,0.0,144,0,0,0.35000000000000003,101
305,4,Free shipping + money-back,0,0.0,144,4,0,0.0,101
306,4,Free shipping + money-back,1,0.0,145,2,0,0.25000000000000006,101
307,4,Free shipping + money-back,1,0.0,146,4,1,0.0,102
308,4,Free shipping + money-back,0,0.0,146,0,0,0.35000000000000003,102
309,4,Free shipping + money-back,0,0.0,146,3,0,0.10000000000000003,102
310,4,Free shipping + money-back,0,0.0,146,3,0,0.10000000000000003,102
311,4,Free shipping + money-back,1,0.0,147,3,1,0.10000000000000003,103
312,4,Free shipping + money-back,0,0.0,147,0,0,0.35000000000000003,103
313,4,Free shipping + money-back,1,0.0,148,0,0,0.35000000000000003,103
